"key","label","detail"
"act_sec24","พ.ร.บ.ทรัพยากรน้ำ มาตรา 24","ในกรณีเกิดปัญหาวิกฤติน้ำจนอาจก่อให้เกิดผลกระทบ<br>ต่อการดำรงชีวิตของคน สัตว์ หรือพืช หรืออาจก่อให้เกิด<br>ความเสียหายแก่ทรัพย์สินของประชาชนหรือของรัฐอย่างรุนแรง<br>ให้นายกรัฐมนตรีมีอำนาจจัดตั้งศูนย์บัญชาการเฉพาะกิจ<br>โดยนายกรัฐมนตรีเป็นผู้บัญชาการ อำนวยการ แก้ไข<br>ปัญหาวิกฤติน้ำเป็นการชั่วคราว จนกว่าปัญหาวิกฤติน้ำ<br>จะผ่านพ้นไป ทั้งนี้ ให้สำนักงบประมาณ พิจารณา<br>จัดสรรงบประมาณให้กับศูนย์บัญชาการเฉพาะกิจ<br>เพื่อเป็นค่าใช้จ่ายในการจัดตั้งและสนับสนุนการปฏิบัติงาน"
"act_sec17-1","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (1)","(๑) จัดทำนโยบายและแผนแม่บทเกี่ยวกับการบริหาร<br>ทรัพยากรน้ำที่สอดคล้องกับยุทธศาสตร์ชาติเพื่อ<br>เสนอคณะรัฐมนตรีให้ความเห็นชอบ"
"act_sec17-2","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (2)","พิจารณาและให้ความเห็นชอบแผปฏิบัติการของหน่วยงาน<br>ของรัฐและองค์กรปกครองส่วนท้องถิ่นที่เกี่ยวกับทรัพยากรน้ำ<br>และแผนงประมาณการบริหารทรัพยากรน้ำแบบบูรณาการ<br>ให้สอดคล้อง กับนโยบายและแผนแม่บทตาม (1) และเสนอ<br>คณะรัฐมนตรี เพื่อพิจารณาในการจัดทำงบประมาณประจำปี<br>"
"act_sec17-3","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (3)","พิจารณาและให้ความเห็นชอบแผนแม่บทการใช้ การพัฒนา<br> การบริหารจัดการ การบำรุงรักษา การฟื้นฟู และการอนุรักษ์<br>ทรัพยากรน้ำในเขตลุ่มน้ำต่าง ๆ ตามที่คณะกรรมการลุ่มน้ำ<br>เสนอ ตามมาตรา 35 (1)"
"act_sec17-4","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (4)","กำกับ ดูแล เร่งรัด ตรวจสอบ ติดตาม และให้คำแนะนำแก่<br>หน่วยงานของรัฐและองค์กรปกครองส่วนท้องถิ่นในการดำเนินการ<br>ตามโยบาย และแผนแม่บทตาม (1) รวมทั้งแผนปฏิบัติการ <br>และแผนงบประมาณตาม (2) และรายงานให้คณะรัฐมนตรี<br>ทราบทุกสิ้นปีงบประมาณ"
"act_sec17-5","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (5)","พิจารณาและให้ความเห็นชอบผังน้ำที่สำนักงานเสนอ<br> และประกาศ กำหนดผังน้ำในราชกิจจานุเบกษา"
"act_sec17-8","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (8)","กำหนดหน่วยงานของรัฐและองค์กรปกครองส่วนท้องถิ่น<br>ที่มีหน้าที่ต้องให้ความร่วมมือ ต่อสำนักงานในการรรบรวม<br>ข้อมูล เชื่อมต่อข้อมูล และบูรมาการขัลด้านทรัพยากรน้ำ"
"act_sec17-9","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (9)","กำหนดกรอบ หลักเกณฑ์ และแนวทางการปฏิบัติงานของ<br>คณะกรรมการลุ่มน้ำ และลำดับความสำคัญของการใช้น้ำ<br>สำหรับกิจการปรประเภทต่าง ๆ เพื่อให้คณะกรรมการลุ่มน้ำ<br>นำไปพิจารณา ในการจัดสรรน้ำและควบคุมการใช้น้ำ<br>ในแต่ละลุ่มน้ำ"
"act_sec17-11","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (11)","พิจารณาและให้ความเห็นชอบการอนุญาตการใช้น้ำประเภทที่สาม<br>ตามมาตรา 44 และการเพิกถอนใบอนุญาตการใช้น้ำประเถทที่สาม<br>ตามมาตรา 54"
"act_sec17-12","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (12)","พิจารณาและให้ความเห็นชอบการผันน้ำระหว่างลุ่มน้ำและ<br>การผันน้ำจากแหล่งน้ำระหว่างประเทศหรือแหล่งน้ำต่างประเทศ"
"act_sec17-16","พ.ร.บ.ทรัพยากรน้ำมาตรา 17 (16)","ออกระเบียบกำหนดมาตรการในการส่งเสริมและสนับสนุนให้<br>ภาคเอกชน ประชาชน และชุมชนที่เกี่ยวข้องมีส่วนร่วม<br>ในด้านการใช้ การพัฒนา การบริหารจัดการ การบำรุงรักษา<br>การฟื้นฟู การอนุรักษ์ และการดำเนินการอื่นใดเกี่ยวกับ<br>ทรัพยากรน้ำ"
"act_sec23-2","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (2)","กลั่นกรองและเสนอความเห็นต่อ กนช. เพื่อประกอบการพิจารณา<br>ดำเนินการตามมาตรา 177 (1) (2) (3) และมาตรา 24"
"act_sec23-3","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (3)","จัดทำผังน้ำเสนอ กนช. เพื่อพิจารณาให้ความเห็นชอบ<br>ตามมาตรา 17 (5)"
"act_sec23-4","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (4)","ประสานการดำเนินงานกับคณะกรรมการลุ่มน้ำ หน่วยงานของรัฐ<br>องค์กรปกครองส่วนท้องถิ่น และภาคส่วนต่าง ๆ ที่เกี่ยวข้อง<br>เพื่อปฏิบัติการตามพระราชบัตินี้"
"act_sec35-3","พ.ร.บ.ทรัพยากรน้ำมาตรา 35 (3)","พิจารณาปริมาณการใช้น้ำ การจัดสรรน้ำ และจัดลำดับความสำคัญ<br>ในการใช้น้ำในเขตลุ่มน้ำ และควบคุมการใช้น้ำให้เป็นไปตามกรอบ<br> หลักเกณฑ์ และแนวทางที่ กนช. กำหนด"
"act_sec23-7","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (7)","อำนวยการและกำกับดูแลโครงการสำคัญระดับชาติหรือ<br>โครงการเร่งด่วนที่จำเป็นต้องมีการประสานการทำงาน<br>หลายหน่วยงานตามที่ กนช. มอบหมาย"
"act_sec23-8","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (8)","ติดตาม ประเมินผล และเสนอความเห็นเกี่ยวกับการดำเนินงาน<br>ของคณะกรรมการลุ่มน้ำ หน่วยงานของรัฐ และองค์กรปกครอง<br>ส่วนท้องถิ่นที่เกี่ยวข้องกับการบริหารทรัพยากรน้ำ และรายงาน<br>ต่อ กนซ."
"act_sec23-9","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (9)","กำกับดูแลและบริหารจัดการระบบสารสนเทศทรัพยากรน้ำ<br>โดยให้หน่วยงานที่ กนช. กำหนด สนับสนุนข้อมูลและ<br>เชื่อมโยงระบบสารสนเทศที่เป็นปัจจุบันเพื่อประโยชน์<br>ในการบริหารทรัพยากรน้ำทั้งในภาวะปกติและภาวะวิกฤติ"
"act_sec23-10","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (10)","ส่งเสริมและสนับสนุนให้ภาคเอกชน ประชาชน และชุมชน<br>ที่เกี่ยวข้องมีส่วนร่วมในด้านการใช้ การพัฒนา การบริหารจัดการ<br>การบำรุงรักษา การฟื้นฟู การอนุรักษ์ และการดำเนินการอื่นใด<br> เกี่ยวกับทรัพยากรน้ำ"
"act_sec37-3","พ.ร.บ.ทรัพยากรน้ำมาตรา 37 (3)","ประสานงานกับหน่วยงานของรัฐ องค์กรปกรองส่วนท้องถิ่น<br>และองค์กรผู้ใช้น้ำ ในการบังคับใช้กฎหมายที่เกี่ยวกับการใช้<br>การพัฒนา การบริหารจัดการ การบำรุงรักษา การฟื้นฟู และ<br>การอนุรักษ์ทรัพยากรน้ำ และกฎหมายที่เกี่ยวกับการควบคุม<br>มลพิษทางน้ำในเขตลุ่มน้ำ เพื่อให้เป็นไปตามแผนแม่บท<br>การใช้ การพัฒนา การบริหารจัดการ การบำรุงรักษา การฟื้นฟู <br>และการอนุรักษ์ทรัพยากรน้ำในเขตลุ่มน้ำ"
"act_sec37-5","พ.ร.บ.ทรัพยากรน้ำมาตรา 23 (5)","รวบรวมและจัดเตรียมข้อมูล ศึกษา วิเคราะห์ วิจัย และริเริ่ม<br>กิจกรรมหรือโครงการใด ๆ เพื่อประโยชน์ในการดำเนินงาน<br>ของ กนช."
"mr_num2-1","กฎกระทรวง 2 (1)","รับผิดชอบงานธุรการของ กนช. คณะกรรมการลุ่มน้ำ <br>และคณะอนุกรรมการทีงเกี่ยวข้อง"
"mr_num2-2","กฎกระทรวง 2 (2)","กลั่นกรองและเสนอความเห็นต่อ กนช. ในการจัดทำ<br>นโยบายและแผนแม่บทเกี่ยวกับการบริหารทรัพยากรน้ำ<br>การให้ความเห็นชอบแผนปฏิบัติการ แผนงบประมาณการ<br>บริหารทรัพยากรน้ำแบบบูรณาการ และแผนแม่บทการใช้<br>การพัฒนา การบริหารจัดการ การบำรุงรักษา การฟื้นฟู<br>และการอนุรักษ์ทรัพยากรน้ำในเขตลุ่มน้ำต่าง ๆ"
"mr_num2-3","กฎกระทรวง 2 (3)","จัดทำผังน้ำเสนอ กนช. เพื่อพิจารณาให้ความเห็นชอบ"
"mr_num2-4","กฎกระทรวง 2 (4)","ประสานการดำเนินงานกับคณะกรรมการลุ่มน้ำ หน่วยงานของรัฐ<br> องค์กรปกครองส่วนท้องถิ่นและภาคส่วนต่าง ๆ ที่เกี่ยวข้อง<br>เพื่อปฏิบัติการตามกฎหมายว่าด้วยทรัพยากรน้ำ"
"mr_num2-5","กฎกระทรวง 2 (5)","รวบรวมและจัดเตรียมข้อมูล ศึกษา วิเคราะห์ วิจัย และริเริ่มกิจกรรม<br>หรือโครงการใด ๆ เพื่อประโยชน์ในการดำเนินงานของ กนช."
"mr_num2-6","กฎกระทรวง 2 (6)","ให้คำแนะนำและสนับสนุนหน่วยงานของรัฐและองค์กรปกครอง<br>ส่วนท้องถิ่นที่เกี่ยวข้องกับการบริหารทรัพยากรน้ำ รวมทั้ง<br>การดำเนินงานของคณะกรรมการลุ่มน้ำตามที่ได้รับการร้องขอ"
"mr_num2-7","กฎกระทรวง 2 (7)","อำนวยการและกำกับดูแลโครงการสำคัญระดับชาติหรือ<br>โครงการเร่งด่วนเกี่ยวกับการบริหารทรัพยากรน้ำที่จำเป็นต้องมี<br>การประสานการทำงานหลายหน่วยงาน"
"mr_num2-8","กฎกระทรวง 2 (8)","ติดตาม ประเมินผล และเสนอความเห็นเกี่ยวกับการดำเนินงาน<br>ของคณะกรรมการลุ่มน้ำหน่วยงานของรัฐ และองค์กรปกครอง<br>ส่วนท้องถิ่นที่เกี่ยวข้องกับการบริหารทรัพยากรน้ำ และรายงานต่อ กนช."
"mr_num2-9","กฎกระทรวง 2 (9)","กำกับดูแลและบริทารจัดการระบบสารสนเทศทรัพยากรน้ำ<br>ทั้งในภาวะปกติและภาวะวิกฤติ"
"mr_num2-10","กฎกระทรวง 2 (10)"," ส่งเสริมและสนับสนุนให้ภาคเอกชน ประชาชน และชุมชน<br>ที่เกี่ยวข้องมีส่วนร่วมในด้านการใช้ การพัฒนา การบริหารจัดการ <br>การบำรุงรักษา การฟื้นฟู การอนุรักษ์ และการดำเนินการอื่นใด<br>เกี่ยวกับทรัพยากรน้ำ"
"mr_num2-11","กฎกระทรวง 2 (11)","เสนอความเห็นเกี่ยวกับการจัดตั้งศูนย์บัญชาการเฉพาะกิจ"
"mr_num10-1","กฎกระทรวง 10 (1)","ดำเนินการเกี่ยวกับการเสนอแนะนโยบายและจัดทำแผนแม่บท<br>เกี่ยวกับการบริหารทรัพยากรน้ำในภาพรวมของประเทศ"
"mr_num10-2","กฎกระทรวง 10 (2)","ศึกษา วิเคราะห์ วิจัย พัฒนา ถ่ายทอด และเผยแพร่ความรู้<br>และนวัตกรรมการบริหารจัดการน้ำในมิติวิศวกรรม เศรษฐกิจ <br>สังคม เศรษฐศาสตร์ และสิ่งแวดล้อม ที่เหมาะสมสอดคล้อง<br>กับนโยบายและยุทธศาสตร์ชาติ"
"mr_num10-3","กฎกระทรวง 10 (3)","เสนอแนะแนวทาง กรอบแผนงาน และมาตรการในการ<br>จัดทำแผนปฏิบัติการจัดการทรัพยากรน้ำของประเทศ"
"mr_num10-4","กฎกระทรวง 10 (4)","กำหนดหลักเกณฑ์ กลั่นกรอง และจัดลำดับความสำคัญ <br>เพื่อกำหนดพื้นที่ในการแก้ไขปัญหาวิกฤติน้ำ หรือการบริหารจัดการน้ำ<br>แบบบูรณาการ"
"mr_num10-5","กฎกระทรวง 10 (5)"," อำนวยการและกำกับดูแลโครงการสำคัญระดับชาติหรือ<br>โครงการเร่งด่วนตามแผนแม่บทเกี่ยวกับการบริหารทรัพยากรน้ำ<br>และบูรณาการร่วมกับหน่วยงานที่เกี่ยวข้องเพื่อผลักดัน <br>โครงการสำคัญให้บรรลุเป้าหมาย"
"mr_num10-6","กฎกระทรวง 10 (6)","ศึกษา วิเคราะห์ กลั่นกรอง กำหนดแนวทาง ติดตาม ประเมินผล <br>และให้ข้อเสนอแนะเกี่ยวกับการดำเนินงานตามนโยบาย <br>แผนแม่บท โครงการสำคัญระดับชาติ และโครงการเร่งด่วนเกี่ยวกับ<br>การบริหารทรัพยากรน้ำ ให้สอดดคล้องกับบริบทที่เปลี่ยนแปลงไป"
"mr_num10-7","กฎกระทรวง 10 (7)","ศึกษา วิเคราะห์ ติดตาม และประเมินผลการพัฒนา การบริหารจัดการ<br> และการดำเนินการขององค์กรและหน่วยงานด้านการจัดการน้ำ<br>ทุกระดับ เพื่อเสนอแนะแนวทางการปรับปรุง<br>กลไกการจัตการ และการขับเคลื่อนนโยบายและแผนแม่บทเกี่ยวกับ<br>การบริหารทรัพยากรน้ำ"
"mr_num11-2","กฎกระทรวง 11 (2)","ศึกษา วิเคราะห์ และวิจัย เพื่อกำหนดกรอบหลักเกณฑ์<br>และแนวทางการบริหารจัดการทรัพยากรน้ำข้ามลุ่มน้ำ <br>และกำหนดแนวทางการจัดสรรทรัพยากรน้ำระดับลุ่มน้ำ<br>และระดับประเทศ"
"mr_num11-3","กฎกระทรวง 11 (3)","กลั่นกรองและเสนอความเห็นต่อ กนช. เกี่ยวกับการอนุญาต<br>การใช้น้ำและการเพิกถอนใบอนุญาตการใช้น้ำประเภทที่สาม<br> รวมทั้งติดตามการใช้น้ำประเภทที่สาม"
"mr_num12-1","กฎกระทรวง 12 (1)","ศึกษา วิเคราะห์ และกำหนดแนวทาง หลักเกณฑ์ในการจัดทำโครงการ<br>และงบประมาณแบบบูรณาการภายใต้แผนแม่บท<br>เกี่ยวกับการบริหารทรัพยากรน้ำ"
"mr_num12-2","กฎกระทรวง 12 (2)","กลั่นกรองและบูรณาการโครงการและแผนงบประมาณรายจ่ายประจำปี<br>ด้านทรัพยากรน้ำของหน่วยงานของรัฐและองค์กรปกครองส่วนท้องถิ่น"
"mr_num12-3","กฎกระทรวง 12 (3)","จัดทำแผนงบประมาณการบริหารทรัพยากรน้ำแบบบูรณาการ<br>ให้สอดคล้องกับนโยบายและแผนแม่บทเกี่ยวกับการบริหาร<br>ทรัพยากรน้ำ"
"mr_num12-4","กฎกระทรวง 12 (4)","ประสาน ติดตาม ตรวจสอบ และประเมินผลการดำเนินการภายใต้<br>แผนแม่บทเกี่ยวกับการบริหารทรัพยากรน้ำ"
"mr_num12-5","กฎกระทรวง 12 (5)","ประสาน ติดตาม พิจารณา และเสนอความเห็นเกี่ยวกับแผนงาน<br>และแผนปฏิบัติการที่เกี่ยวข้องกับทรัพยากรน้ำ ทั้งในส่วนของ<br>งบประมาณและแหล่งเงินอื่น ๆ โครงการสำคัญระดับชาติ<br>หรือโครงการเร่งด่วนที่จำเป็นต้องมีการประสานการทำงาน<br>หลายหน่วยงาน และโครงการต่าง ๆ เกี่ยวกับการบริหารทรัพยากรน้ำ<br>ของหน่วยงานของรัฐและองค์กรปกครองส่วนท้องถิ่น"
"mr_num13-1","กฎกระทรวง 13 (1)","ศึกษา วิจัย วิเคราะห์ และคาดการณ์ข้อมูลอากาศ รวมทั้ง<br>พยากรณ์สถานการณ์น้ำ เพื่อสนับสนุนการวาง<br>แผนบริหารจัดการทรัพยากรน้ำ"
"mr_num13-2","กฎกระทรวง 13 (2)","ศึกษา วิจัย วิเคราะห์ ออกแบบ และพัฒนาระบบคลังข้อมูล<br>บริหารจัดการทรัพยากรน้ำกำหนดมาตรฐานข้อมูลสารสนเทศ<br>ทรัพยากรน้ำ และเชื่อมโยงแลกเปลี่ยนข้อมูลสารสนเทศ<br>ทรัพยากรน้ำกับหน่วยงานที่เกี่ยวข้อง รวมทั้งบูรณาการการทำงาน<br>ร่วมกันระหว่างหน่วยงานที่เกี่ยวข้อง เพื่อสนับสนุนการบริหาร<br>ทรัพยากรน้ำและการตัดสินใจของ กนช. และศณะกรรมการลุ่มน้ำ"
"mr_num13-3","กฎกระทรวง 13 (3)","เป็นศูนย์อำนวยการข้อมูลสารสนเทศทรัพยากรน้ำแห่งชาติ <br>เพื่อติดตาม เฝ้าระวัง ป้องกัน และเตือนภัยสถานการณ์น้ำ"
"mr_num13-4","กฎกระทรวง 13 (4)","ติดตามและจัดทำรายงานสถานการณ์น้ำของประเทศ"
"mr_num13-6","กฎกระทรวง 13 (6)","จัดทำผังน้ำ และฐานข้อมูลต่าง ๆ ที่เกี่ยวข้องกับภูมิสารสนเทศผังน้ำ"
"mr_num13-10","กฎกระทรวง 13 (10)","ศึกษา วิจัย และพัฒนาการถ่ายทอดเทคโนโลยีสารสนเทศทรัพยากรน้ำ<br> เพื่อให้หน่วยงานของรัฐและองค์กรปกครองส่วนท้องถิ่น<br>ที่เกี่ยวข้องกับการบริหารทรัพยากรน้ำดำเนินงาน ให้เป็นไปตาม<br>มาตรฐานและข้อมูลสารสนเทศทรัพยากรน้ำเดียวกัน"
"mr_num15-2","กฎกระทรวง 15 (2)","ประสานงานกับหน่วยงานที่เกี่ยวข้องในการดำเนินงานตามภารกิจ<br>ของ กนช. และคณะอนุกรรมการที่เกี่ยวข้อง"
"mr_num15-3","กฎกระทรวง 15 (3)","ส่งเสริม สนับสนุน และติดตามการดำเนินงานของคณะกรรมการลุ่มน้ำ<br> และคณะอนุกรรมการที่เกี่ยวข้อง"